Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman,SMA_7,SMA_30,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,Bollinger_Upper,Bollinger_Lower,Gold_Toman_Lag_1,Gold_Toman_Lag_2,Gold_Toman_Lag_3,Gold_Toman_Lag_7,USD_Toman_Lag_1,USD_Toman_Lag_2,USD_Toman_Lag_3,USD_Toman_Lag_7,Ounce_Toman_Lag_1,Ounce_Toman_Lag_2,Ounce_Toman_Lag_3,Ounce_Toman_Lag_7,Gold_PCT_Change,USD_PCT_Change,Target_NextDay_Price
2023-08-08,2350700.0,49542.0,95323760.99,4269034.05,2363994.285714286,2345178.6666666665,2350872.6295002643,2349973.834012013,898.7954882513732,-2230.9173475186676,56.81818181818182,2393675.86645592,2280750.13354408,2340700.0,2351600.0,2360400.0,2367800.0,49350.0,49644.0,49632.0,49366.0,95418225.0,96180286.81,96157038.01,97196718.61,0.42722262571026626,0.38905775075988025,2349500.0
2023-08-09,2349500.0,49659.0,95116849.81,4347645.6,2357951.4285714286,2344008.6666666665,2350661.455730993,2349938.7351963082,722.7205346846022,-1640.1897710780138,69.549822964087,2394760.3745183977,2282775.6254816023,2350700.0,2340700.0,2351600.0,2391800.0,49542.0,49350.0,49644.0,50070.0,95323760.99,95418225.0,96180286.81,98662935.0,-0.05104862381418718,0.23616325541964134,2349500.0
2023-08-10,2349500.0,49673.0,95093992.41,4291747.28,2352777.1428571427,2342968.6666666665,2350482.770233917,2349906.2362928777,576.5339410393499,-1196.8450286545412,57.9020979020979,2395793.7671758244,2284072.2328241756,2349500.0,2350700.0,2340700.0,2385720.0,49659.0,49542.0,49350.0,50009.0,95116849.81,95323760.99,95418225.0,97052463.86,0.0,0.028192271290206072,2321600.0
2023-08-12,2321600.0,49142.0,94077446.0,4245868.87,2346285.714285714,2340898.6666666665,2346039.2671210067,2347809.4780489607,-1770.2109279539436,-1311.5182085144218,46.18204031765425,2395456.1116359076,2285309.8883640924,2349500.0,2349500.0,2350700.0,2367040.0,49673.0,49659.0,49542.0,49867.0,95093992.41,95116849.81,95323760.99,96612327.02,-1.187486699297724,-1.0689912024641202,2321100.0
2023-08-13,2321100.0,49296.0,94372263.6,4259174.48,2340671.4285714286,2338812.0,2342202.456794698,2345830.9981934824,-3628.5413987846114,-1774.9228465684598,46.380368098159515,2394983.4893702366,2286822.5106297634,2321600.0,2349500.0,2349500.0,2360400.0,49142.0,49673.0,49659.0,49632.0,94077446.0,95093992.41,95116849.81,96157038.01,-0.02153687112336211,0.3133775589109211,2322000.0
2023-08-14,2322000.0,49248.0,94093227.6,4245670.03,2336442.8571428573,2337618.6666666665,2339094.38651859,2344065.739068039,-4971.352549449075,-2414.208787144583,46.67480170835876,2394843.112269953,2287392.887730047,2321100.0,2321600.0,2349500.0,2351600.0,49296.0,49142.0,49673.0,49644.0,94372263.6,94077446.0,95093992.41,96180286.81,0.03877471888329431,-0.09737098344693162,2307700.0
2023-08-15,2307700.0,48944.0,93115960.0,4154856.13,2331728.5714285714,2336255.3333333335,2334264.4809003454,2341371.9806185546,-7107.499718209263,-3352.866973357519,44.606413994169095,2395435.787201621,2285800.212798379,2322000.0,2321100.0,2321600.0,2340700.0,49248.0,49296.0,49142.0,49350.0,94093227.6,94372263.6,94077446.0,95418225.0,-0.6158484065460823,-0.6172839506172867,2304300.0
2023-08-16,2304300.0,48858.0,92639652.61,4077199.95,2325100.0,2335472.0,2329654.560761831,2338625.907980143,-8971.347218312323,-4476.56302234848,26.181545386346585,2390038.77678415,2294407.22321585,2307700.0,2322000.0,2321100.0,2350700.0,48944.0,49248.0,49296.0,49542.0,93115960.0,94093227.6,94372263.6,95323760.99,-0.14733284222385734,-0.17571101667211986,2304300.0
2023-08-17,2304300.0,48858.0,92053356.61,4109935.09,2318642.8571428573,2334095.3333333335,2325753.8591061644,2336083.2481297622,-10329.389023597818,-5647.128222598349,9.972552607502294,2391434.94028419,2290751.05971581,2304300.0,2307700.0,2322000.0,2349500.0,48858.0,48944.0,49248.0,49659.0,92639652.61,93115960.0,94093227.6,95116849.81,0.0,0.0,2263200.0
2023-08-19,2263200.0,48792.0,91929006.01,4104383.17,2306314.285714286,2331225.3333333335,2316130.188474447,2330684.489009039,-14554.30053459201,-7428.562684997081,7.552660753880261,2398772.442865644,2276323.557134356,2304300.0,2304300.0,2307700.0,2349500.0,48858.0,48858.0,48944.0,49673.0,92053356.61,92639652.61,93115960.0,95093992.41,-1.7836219242286178,-0.13508534937983763,2279800.0
