Date,Gold_Toman,USD_Toman,Ounce_Toman,Oil_Toman
2025-01-14,5258700.00,804850.00,2154985875.00,64323610.53
2025-01-12,5328400.00,814600.00,2206344100.00,64972497.74
2025-01-11,5283400.00,806650.00,2184811525.00,64338405.72
2025-01-10,5353500.00,819500.00,2219615750.00,65363321.75
2025-01-08,5285000.00,813900.00,2168636550.00,61986626.98
2025-01-07,5271800.00,804100.00,2136252430.74,61955907.45
2025-01-06,5224000.00,800800.00,2112830641.80,61101042.44
2025-01-05,5117400.00,793450.00,2098675250.00,60706861.19
2025-01-04,5120600.00,795450.00,2103965250.00,60859881.20
2025-01-03,5156400.00,798350.00,2111635750.00,61081760.21
2025-01-01,5195600.00,806350.00,2120055380.63,60185963.51
2024-12-31,5218500.00,812300.00,2135699120.34,60630071.50
2024-12-30,5241300.00,813050.00,2118889684.40,60482789.00
2024-12-29,5230500.00,813200.00,2128307000.29,60315042.51
2024-12-28,5161200.00,797150.00,2086300941.08,59124614.04
2024-12-27,5263000.00,810600.00,2121502280.42,60122200.52
2024-12-25,5143200.00,793850.00,2079887000.00,58411484.45
2024-12-24,5077700.00,785950.00,2059189000.00,57830202.44
2024-12-23,5049300.00,786600.00,2054835218.41,57130755.84
2024-12-22,4987200.00,778800.00,2047231521.97,56805673.90
2024-12-21,4907100.00,762800.00,2005172322.75,55638633.86
2024-12-20,4891800.00,762400.00,2004120842.77,55609457.86
2024-12-18,4871000.00,767550.00,2023645575.00,56330494.03
2024-12-17,4969400.00,773650.00,2045839984.45,56623445.39
2024-12-16,4912400.00,766300.00,2031767745.17,56637235.81
2024-12-15,4941700.00,759500.00,2017232000.00,56575153.38
2024-12-14,4853500.00,747100.00,1984297600.00,55651477.40
2024-12-13,4867600.00,747150.00,1984430400.00,55655201.90
2024-12-11,4818200.00,729600.00,1994580515.63,53640189.55
2024-12-10,4861300.00,731950.00,1974508391.48,52839472.29
2024-12-09,4757900.00,723200.00,1927255609.38,52171647.56
2024-12-08,4694200.00,718850.00,1896757680.20,51124613.97
2024-12-07,4657900.00,719200.00,1897681190.23,51149505.98
2024-12-06,4615000.00,715600.00,1888182229.88,50893473.97
2024-12-03,4686600.00,714800.00,1890431525.10,52623577.96
2024-12-02,4621700.00,710950.00,1873282085.57,51067539.80
2024-12-01,4591900.00,704150.00,1870926550.00,51360702.72
2024-11-30,4564900.00,699000.00,1857243000.00,50985061.71
2024-11-29,4579500.00,704000.00,1870528000.00,51349761.72
2024-11-27,4563100.00,701400.00,1851625791.50,51082963.28
2024-11-26,4511100.00,699050.00,1831720749.13,50897828.79
2024-11-25,4470300.00,695950.00,1821161993.98,50811310.99
2024-11-24,4473500.00,693700.00,1879857562.26,52145427.73
2024-11-23,4567700.00,689600.00,1868746972.66,51837230.74
2024-11-22,4660500.00,699050.00,1894355526.73,52547587.22
2024-11-20,4519700.00,692250.00,1833216416.20,50402720.81
2024-11-19,4495000.00,689300.00,1810860097.31,50532581.32
2024-11-18,4436100.00,689050.00,1798833997.29,50507367.10
2024-11-17,4356900.00,684450.00,1756093331.58,48623328.63
2024-11-16,4287200.00,681750.00,1749165941.71,48431520.62
2024-11-15,4296200.00,682400.00,1750833646.68,48477696.62
2024-11-13,4298300.00,683300.00,1763460673.36,49388923.17
2024-11-12,4374400.00,684400.00,1779440000.00,49201515.58
2024-11-11,4322300.00,678200.00,1770915806.88,48715107.24
2024-11-10,4246300.00,669200.00,1798475000.00,49433805.84
2024-11-09,4445800.00,682650.00,1834621875.00,50427357.37
2024-11-08,4546700.00,692200.00,1860287500.00,51132815.90
2024-11-06,4543200.00,690450.00,1841844487.43,51728512.74
2024-11-05,4570900.00,696250.00,1907933909.00,52587761.65
2024-11-04,4609700.00,688900.00,1884899357.28,51722613.26
2024-11-03,4618500.00,689600.00,1888538627.34,50409758.95
2024-11-02,4679000.00,693250.00,1898534517.70,50676573.94
2024-11-01,4659300.00,694800.00,1902779347.85,50789878.94
2024-10-30,4612700.00,682300.00,1902593550.00,49500867.08
2024-10-29,4750800.00,692400.00,1916840092.38,49243489.90
2024-10-28,4626800.00,684000.00,1876143533.20,48851278.75
2024-10-27,4536300.00,674800.00,1849559254.10,51318542.06
2024-10-26,4448100.00,660850.00,1811323700.46,50257644.52
2024-10-25,4376800.00,655300.00,1796111706.01,49835567.00
2024-10-23,4597000.00,679500.00,1844434733.64,50935319.38
2024-10-22,4567700.00,677300.00,1858646626.93,51501892.62
2024-10-21,4436800.00,661500.00,1801330714.60,49142835.61
2024-10-20,4325500.00,648550.00,1759970103.33,47383061.42
2024-10-19,4275900.00,641950.00,1742059683.65,46900865.43
2024-10-18,4253500.00,639600.00,1735682488.77,46729174.44
2024-10-16,4179400.00,636600.00,1702268400.00,47248452.78
2024-10-15,4162500.00,633350.00,1685597628.15,47026237.50
2024-10-14,4105000.00,627650.00,1661891700.65,48617768.43
2024-10-13,4107800.00,631500.00,1678274461.67,49913760.58
2024-10-12,4081900.00,628450.00,1670168781.37,49672688.58
2024-10-11,4036500.00,624950.00,1660867181.03,49396048.57
2024-10-09,4092800.00,635500.00,1656113000.00,48666591.16
2024-10-08,4067400.00,629350.00,1645750250.00,48573233.19
2024-10-07,4034600.00,625450.00,1654190190.54,50617668.69
2024-10-06,4099900.00,628450.00,1662753040.69,49050524.42
2024-10-05,4141000.00,634550.00,1678892420.98,49526629.44
2024-10-04,4093000.00,623900.00,1650714650.46,48695396.90
2024-10-02,4105000.00,626900.00,1659467051.22,46327910.96
2024-10-01,4078500.00,622550.00,1660527645.40,45794776.48
2024-09-30,4050100.00,614950.00,1621069755.05,44134959.44
2024-09-29,3937600.00,603750.00,1596496154.48,43457927.03
2024-09-28,3978700.00,606100.00,1602710259.59,43627080.03
2024-09-27,4026100.00,607000.00,1605090129.64,43691862.04
2024-09-25,3905100.00,600300.00,1596317730.69,44098037.45
2024-09-24,3878100.00,597150.00,1583164050.84,44887764.41
2024-09-23,3907200.00,604850.00,1588638525.00,44698415.92
2024-09-22,3849700.00,597800.00,1536764430.81,44027970.91
2024-09-21,3805400.00,595500.00,1530851820.92,43858575.91
2024-09-18,3738200.00,592300.00,1522625581.08,43622895.90
2024-09-17,3731300.00,592350.00,1518963133.92,43656193.19
2024-09-16,3733100.00,595150.00,1535725001.88,43297162.50
2024-09-15,3709300.00,591000.00,1525548328.86,42321510.36
2024-09-14,3689500.00,590400.00,1523999548.83,42278544.36
2024-09-13,3706300.00,593900.00,1533034099.00,42529179.36
2024-09-10,3662900.00,597500.00,1501099279.17,41341026.46
2024-09-09,3652300.00,596150.00,1491448099.11,42827413.82
2024-09-08,3629200.00,596750.00,1487996125.00,42405053.54
2024-09-07,3606600.00,594500.00,1482385750.00,42245168.55
2024-09-06,3603800.00,597500.00,1489866250.00,42458348.54
2024-09-04,3645400.00,599000.00,1493546541.50,43547298.17
2024-09-02,3643300.00,598900.00,1493536849.24,47193321.83
2024-08-31,3675400.00,599000.00,1493786229.25,47201201.83
2024-08-30,3624400.00,594800.00,1483312269.04,46870241.82
2024-08-28,3632000.00,593950.00,1485468950.00,46714168.41
2024-08-27,3614700.00,590000.00,1484440000.00,46934501.80
2024-08-26,3588300.00,591250.00,1488590096.13,48145487.68
2024-08-25,3617700.00,593200.00,1487982822.07,46874662.01
2024-08-23,3587200.00,582650.00,1461519203.10,46041001.04
2024-08-21,3582800.00,584100.00,1465156382.96,44420806.78
2024-08-20,3575900.00,581600.00,1460572108.40,44899518.23
2024-08-19,3537600.00,579850.00,1450668758.31,45031153.12
2024-08-18,3556000.00,583100.00,1456933716.94,46461408.18
2024-08-16,3477500.00,577050.00,1441817186.35,45979344.18
2024-08-14,3467100.00,587650.00,1433513352.61,46870965.26
2024-08-13,3475200.00,588350.00,1451282916.27,47473962.94
2024-08-12,3497800.00,595700.00,1466851621.83,49026111.82
2024-08-11,3542200.00,600250.00,1459868083.62,47815917.20
2024-08-10,3468300.00,594100.00,1444910668.02,47326008.18
2024-08-09,3522100.00,597700.00,1453666228.37,47612784.19
2024-08-07,3561300.00,610000.00,1458205000.00,47781301.12
2024-08-06,3582600.00,614010.00,1466931350.96,46959486.86
2024-08-05,3519800.00,611400.00,1468399350.15,46649821.87
2024-08-04,3560200.00,614900.00,1491562899.98,47230467.50
2024-08-03,3599900.00,609000.00,1477251270.26,46777288.51
2024-08-02,3697500.00,615270.00,1492460408.96,47258887.20
2024-07-31,3615600.00,606000.00,1470459000.00,48916320.74
2024-07-30,3562700.00,600400.00,1443962000.00,47209450.35
